Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-05/10/2015
Datum: 05/10/2015
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B33F0080,001,1988/06/14 00:00:00,146,
B33F0080,001,1988/06/28 00:00:00,158,
B33F0080,001,1988/07/14 00:00:00,140,
B33F0080,001,1988/07/28 00:00:00,106,
B33F0080,001,1988/08/29 00:00:00,125,
B33F0080,001,1988/09/14 00:00:00,130,
B33F0080,001,1988/09/28 00:00:00,127,
B33F0080,001,1988/10/14 00:00:00,123,
B33F0080,001,1988/10/28 00:00:00,133,
B33F0080,001,1988/11/14 00:00:00,126,
B33F0080,001,1988/11/28 00:00:00,134,
B33F0080,001,1988/12/14 00:00:00,115,
B33F0080,001,1988/12/28 00:00:00,99,
B33F0080,001,1989/01/13 00:00:00,109,
B33F0080,001,1989/01/27 00:00:00,123,
B33F0080,001,1989/02/14 00:00:00,128,
B33F0080,001,1989/02/28 00:00:00,122,
B33F0080,001,1989/03/14 00:00:00,114,
B33F0080,001,1989/03/28 00:00:00,106,
B33F0080,001,1989/04/14 00:00:00,106,
B33F0080,001,1989/04/28 00:00:00,121,
B33F0080,001,1989/05/16 00:00:00,126,
B33F0080,001,1989/05/29 00:00:00,154,
B33F0080,001,1989/06/14 00:00:00,147,
B33F0080,001,1989/06/28 00:00:00,169,
B33F0080,001,1989/07/14 00:00:00,167,
B33F0080,001,1989/08/14 00:00:00,158,
B33F0080,001,1989/08/28 00:00:00,151,
B33F0080,001,1989/09/14 00:00:00,160,
B33F0080,001,1989/09/28 00:00:00,162,
B33F0080,001,1989/10/13 00:00:00,158,
B33F0080,001,1989/10/27 00:00:00,153,
B33F0080,001,1989/11/14 00:00:00,149,
B33F0080,001,1989/11/28 00:00:00,154,
B33F0080,001,1989/12/14 00:00:00,137,
B33F0080,001,1989/12/28 00:00:00,128,
B33F0080,001,1990/01/15 00:00:00,138,
B33F0080,001,1990/01/29 00:00:00,119,
B33F0080,001,1990/02/14 00:00:00,103,
B33F0080,001,1990/02/28 00:00:00,107,
B33F0080,001,1990/03/14 00:00:00,111,
B33F0080,001,1990/03/28 00:00:00,122,
B33F0080,001,1990/04/12 00:00:00,135,
B33F0080,001,1990/04/27 00:00:00,135,
B33F0080,001,1990/05/14 00:00:00,135,
B33F0080,001,1990/05/25 00:00:00,146,
B33F0080,001,1990/06/14 00:00:00,143,
B33F0080,001,1990/06/28 00:00:00,128,
B33F0080,001,1990/07/13 00:00:00,134,
B33F0080,001,1990/07/27 00:00:00,161,
B33F0080,001,1990/08/14 00:00:00,174,
B33F0080,001,1990/08/28 00:00:00,161,
B33F0080,001,1990/09/14 00:00:00,143,
B33F0080,001,1990/09/28 00:00:00,140,
B33F0080,001,1990/10/18 00:00:00,136,
B33F0080,001,1990/10/29 00:00:00,140,
B33F0080,001,1990/11/14 00:00:00,126,
B33F0080,001,1990/11/28 00:00:00,107,
B33F0080,001,1990/12/14 00:00:00,106,
B33F0080,001,1991/01/14 00:00:00,108,
B33F0080,001,1991/01/28 00:00:00,114,
B33F0080,001,1991/02/14 00:00:00,138,
B33F0080,001,1991/02/28 00:00:00,134,
B33F0080,001,1991/03/14 00:00:00,136,
B33F0080,001,1991/03/28 00:00:00,140,
B33F0080,001,1991/04/15 00:00:00,143,
B33F0080,001,1991/04/29 00:00:00,139,
B33F0080,001,1991/05/14 00:00:00,142,
B33F0080,001,1991/05/28 00:00:00,144,
B33F0080,001,1991/06/14 00:00:00,146,
B33F0080,001,1991/06/28 00:00:00,89,
B33F0080,001,1991/07/15 00:00:00,136,
B33F0080,001,1991/07/29 00:00:00,146,
B33F0080,001,1991/08/14 00:00:00,166,
B33F0080,001,1991/08/28 00:00:00,178,
B33F0080,001,1991/09/13 00:00:00,183,
B33F0080,001,1991/09/27 00:00:00,157,
B33F0080,001,1991/10/14 00:00:00,154,
B33F0080,001,1991/10/28 00:00:00,154,
B33F0080,001,1991/11/14 00:00:00,126,
B33F0080,001,1991/11/28 00:00:00,128,
B33F0080,001,1991/12/13 00:00:00,138,
B33F0080,001,1991/12/30 00:00:00,122,
B33F0080,001,1992/01/14 00:00:00,113,
B33F0080,001,1992/01/28 00:00:00,130,
B33F0080,001,1992/02/14 00:00:00,126,
B33F0080,001,1992/02/28 00:00:00,132,
B33F0080,001,1992/03/09 00:00:00,127,
B33F0080,001,1992/03/13 00:00:00,122,
B33F0080,001,1992/03/27 00:00:00,115,
B33F0080,001,1992/04/14 00:00:00,137,
B33F0080,001,1992/04/28 00:00:00,133,
B33F0080,001,1992/05/14 00:00:00,132,
B33F0080,001,1992/05/27 00:00:00,150,
B33F0080,001,1992/06/15 00:00:00,138,
B33F0080,001,1992/06/29 00:00:00,166,
B33F0080,001,1992/07/14 00:00:00,176,
B33F0080,001,1992/07/28 00:00:00,182,
B33F0080,001,1992/08/28 00:00:00,146,
B33F0080,001,1992/09/14 00:00:00,138,
B33F0080,001,1992/09/28 00:00:00,149,
B33F0080,001,1992/10/14 00:00:00,149,
B33F0080,001,1992/10/28 00:00:00,122,
B33F0080,001,1992/11/13 00:00:00,116,
B33F0080,001,1992/11/27 00:00:00,103,
B33F0080,001,1992/12/14 00:00:00,103,
B33F0080,001,1992/12/28 00:00:00,126,
B33F0080,001,1993/01/14 00:00:00,111,
B33F0080,001,1993/01/28 00:00:00,90,
B33F0080,001,1993/03/01 00:00:00,128,
B33F0080,001,1993/03/15 00:00:00,139,
B33F0080,001,1993/03/29 00:00:00,143,
B33F0080,001,1993/04/14 00:00:00,144,
B33F0080,001,1993/04/28 00:00:00,141,
B33F0080,001,1993/05/14 00:00:00,143,
B33F0080,001,1993/05/28 00:00:00,136,
B33F0080,001,1993/06/14 00:00:00,150,
B33F0080,001,1993/06/28 00:00:00,151,
B33F0080,001,1993/07/14 00:00:00,158,
B33F0080,001,1993/07/28 00:00:00,81,
B33F0080,001,1993/08/27 00:00:00,124,
B33F0080,001,1993/09/14 00:00:00,104,
B33F0080,001,1993/09/28 00:00:00,75,
B33F0080,001,1993/10/14 00:00:00,70,
B33F0080,001,1993/10/28 00:00:00,117,
B33F0080,001,1993/11/15 00:00:00,106,
B33F0080,001,1993/11/29 00:00:00,136,
B33F0080,001,1993/12/14 00:00:00,107,
B33F0080,001,1993/12/28 00:00:00,94,
B33F0080,001,1994/01/14 00:00:00,101,
B33F0080,001,1994/01/28 00:00:00,88,
B33F0080,001,1994/02/14 00:00:00,121,
B33F0080,001,1994/02/28 00:00:00,133,
B33F0080,001,1994/03/14 00:00:00,127,
B33F0080,001,1994/03/28 00:00:00,97,
B33F0080,001,1994/04/14 00:00:00,106,
B33F0080,001,1994/04/28 00:00:00,129,
B33F0080,001,1994/05/17 00:00:00,139,
B33F0080,001,1994/05/28 00:00:00,140,
B33F0080,001,1994/06/14 00:00:00,134,
B33F0080,001,1994/06/28 00:00:00,145,
B33F0080,001,1994/07/14 00:00:00,156,
B33F0080,001,1994/07/28 00:00:00,180,
B33F0080,001,1994/08/29 00:00:00,161,
B33F0080,001,1994/09/14 00:00:00,143,
B33F0080,001,1994/09/28 00:00:00,148,
B33F0080,001,1994/10/14 00:00:00,151,
B33F0080,001,1994/10/28 00:00:00,142,
B33F0080,001,1994/11/14 00:00:00,131,
B33F0080,001,1994/11/28 00:00:00,123,
B33F0080,001,1994/12/14 00:00:00,115,
B33F0080,001,1994/12/28 00:00:00,94,
B33F0080,001,1995/01/13 00:00:00,91,
B33F0080,001,1995/01/27 00:00:00,88,
B33F0080,001,1995/02/14 00:00:00,106,
B33F0080,001,1995/02/28 00:00:00,112,
B33F0080,001,1995/03/14 00:00:00,112,
B33F0080,001,1995/03/28 00:00:00,97,
B33F0080,001,1995/04/14 00:00:00,127,
B33F0080,001,1995/04/28 00:00:00,123,
B33F0080,001,1995/05/15 00:00:00,139,
B33F0080,001,1995/05/29 00:00:00,101,
B33F0080,001,1995/06/14 00:00:00,116,
B33F0080,001,1995/06/28 00:00:00,138,
B33F0080,001,1995/07/14 00:00:00,161,
B33F0080,001,1995/08/14 00:00:00,184,
B33F0080,001,1995/08/28 00:00:00,180,
B33F0080,001,1995/09/14 00:00:00,160,
B33F0080,001,1995/09/28 00:00:00,146,
B33F0080,001,1995/10/13 00:00:00,146,
B33F0080,001,1995/10/27 00:00:00,157,
B33F0080,001,1995/11/14 00:00:00,156,
B33F0080,001,1995/11/28 00:00:00,148,
B33F0080,001,1995/12/14 00:00:00,154,
B33F0080,001,1995/12/28 00:00:00,144,
B33F0080,001,1996/01/15 00:00:00,150,
B33F0080,001,1996/01/29 00:00:00,155,
B33F0080,001,1996/02/14 00:00:00,146,
B33F0080,001,1996/02/28 00:00:00,135,
B33F0080,001,1996/03/14 00:00:00,152,
B33F0080,001,1996/03/28 00:00:00,151,
B33F0080,001,1996/04/15 00:00:00,154,
B33F0080,001,1996/04/29 00:00:00,162,
B33F0080,001,1996/05/14 00:00:00,159,
B33F0080,001,1996/05/28 00:00:00,148,
B33F0080,001,1996/06/14 00:00:00,159,
B33F0080,001,1996/06/28 00:00:00,174,
B33F0080,001,1996/07/15 00:00:00,164,
B33F0080,001,1996/08/14 00:00:00,164,
B33F0080,001,1996/08/28 00:00:00,172,
B33F0080,001,1996/09/13 00:00:00,161,
B33F0080,001,1996/09/27 00:00:00,156,
B33F0080,001,1996/10/14 00:00:00,144,
B33F0080,001,1996/10/28 00:00:00,130,
B33F0080,001,1996/11/15 00:00:00,126,
B33F0080,001,1996/11/28 00:00:00,116,
B33F0080,001,1996/12/13 00:00:00,121,
B33F0080,001,1996/12/30 00:00:00,132,
B33F0080,001,1997/01/14 00:00:00,146,
B33F0080,001,1997/01/28 00:00:00,147,
B33F0080,001,1997/02/14 00:00:00,112,
B33F0080,001,1997/02/28 00:00:00,118,
B33F0080,001,1997/03/14 00:00:00,130,
B33F0080,001,1997/03/28 00:00:00,126,
B33F0080,001,1997/04/14 00:00:00,137,
B33F0080,001,1997/04/28 00:00:00,141,
B33F0080,001,1997/05/14 00:00:00,138,
B33F0080,001,1997/05/28 00:00:00,141,
B33F0080,001,1997/06/13 00:00:00,140,
B33F0080,001,1997/06/27 00:00:00,141,
B33F0080,001,1997/07/14 00:00:00,129,
B33F0080,001,1997/08/14 00:00:00,167,
B33F0080,001,1997/08/28 00:00:00,170,
B33F0080,001,1997/09/10 00:00:00,166,
B33F0080,001,1997/09/15 00:00:00,166,
B33F0080,001,1997/09/29 00:00:00,168,
B33F0080,001,1997/10/14 00:00:00,156,
B33F0080,001,1997/10/28 00:00:00,156,
B33F0080,001,1997/11/14 00:00:00,156,
B33F0080,001,1997/11/28 00:00:00,159,
