Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-05/10/2015
Datum: 05/10/2015
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B33F0133,001,33FP0133,210400,473366,650,,702,-6750,-7000,1989/12/14,1995/10/23
B33F0133,001,33FP0133,210400,473366,650,,714,-6750,-7000,1995/10/23,2011/01/18

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B33F0133,001,2002/12/13 00:00:00,358,
B33F0133,001,2002/12/28 00:00:00,339,
B33F0133,001,2003/01/14 00:00:00,362,
B33F0133,001,2003/01/28 00:00:00,352,
B33F0133,001,2003/02/14 00:00:00,328,
B33F0133,001,2003/02/28 00:00:00,328,
B33F0133,001,2003/03/14 00:00:00,325,
B33F0133,001,2003/03/27 00:00:00,321,
B33F0133,001,2003/04/14 00:00:00,321,
B33F0133,001,2003/04/29 00:00:00,321,
B33F0133,001,2003/05/14 00:00:00,318,
B33F0133,001,2003/05/27 00:00:00,310,
B33F0133,001,2003/06/12 00:00:00,323,
B33F0133,001,2003/07/29 00:00:00,344,
B33F0133,001,2003/08/14 00:00:00,406,
B33F0133,001,2003/08/27 00:00:00,397,
B33F0133,001,2003/09/15 00:00:00,384,
B33F0133,001,2003/09/29 00:00:00,380,
B33F0133,001,2003/10/27 00:00:00,363,
B33F0133,001,2003/12/15 00:00:00,354,
B33F0133,001,2003/12/30 00:00:00,336,
B33F0133,001,2004/01/13 00:00:00,330,
B33F0133,001,2004/01/27 00:00:00,318,
B33F0133,001,2004/02/17 00:00:00,321,
B33F0133,001,2004/02/26 00:00:00,317,
B33F0133,001,2004/03/25 00:00:00,321,
B33F0133,001,2004/04/15 00:00:00,319,
B33F0133,001,2004/04/29 00:00:00,324,
B33F0133,001,2004/05/13 00:00:00,324,
B33F0133,001,2004/05/27 00:00:00,341,
B33F0133,001,2004/06/14 00:00:00,346,
B33F0133,001,2004/06/29 00:00:00,353,
B33F0133,001,2004/07/14 00:00:00,337,
B33F0133,001,2004/08/27 00:00:00,330,
B33F0133,001,2004/09/14 00:00:00,332,
B33F0133,001,2004/09/29 00:00:00,336,
B33F0133,001,2004/10/27 00:00:00,325,
B33F0133,001,2004/11/17 00:00:00,333,
B33F0133,001,2004/11/30 00:00:00,320,
B33F0133,001,2004/12/14 00:00:00,347,
B33F0133,001,2004/12/28 00:00:00,347,
B33F0133,001,2005/01/13 00:00:00,356,
B33F0133,001,2005/01/27 00:00:00,347,
B33F0133,001,2005/02/14 00:00:00,348,
B33F0133,001,2005/03/01 00:00:00,357,
B33F0133,001,2005/03/14 00:00:00,358,
